code_insee,nb_accidents,nb_accidents_graves,nb_accidents_mortels,gravite_moyenne,age_moyen_victimes,lat_moyenne,long_moyenne,nb_accidents_nuit,nb_accidents_pluie,nb_accidents_mouille,annee_min,annee_max,taux_accidents_graves,taux_accidents_mortels,nom_commune,nb_amenagements,longueur_totale_amenagements,longueur_moyenne_amenagement,nb_voies_principales,nb_voies_residentielles,nb_pistes_cyclables,nb_double_sens,nb_sens_unique,nb_asphalt,nb_autres_revetements,ratio_pistes_cyclables,ratio_double_sens,nb_compteurs,comptage_total_commune,comptage_moyen_commune,comptage_max_commune,nom_commune_pop,population,departement,ratio_amenagements_par_accident,longueur_amenagement_par_accident,taux_risque_par_km,taux_risque_par_habitant,taux_risque_grave_par_habitant,densite_pop_amenagement,risque_eleve,categorie_risque,est_paris
95427,7,0,0,3.7142857142857144,19.142857142857142,39.176339999999996,1.8767599999999998,3,1,1,2008.0,2023.0,0.0,0.0,Montmagny,68.0,8391.0,123.3970588235294,18.0,21.0,5.0,34.0,24.0,27.0,41.0,0.07352941176470588,0.5,0.0,0.0,0.0,0.0,Montmagny,14775,95,9.714285714285714,1198.7142857142858,0.8342271481349064,4.737732656514382,0.0,1760.8151590990346,1,Modéré,0
95428,5,0,0,4.0,31.0,48.98146,2.32152,1,1,0,2015.0,2016.0,0.0,0.0,Montmorency,184.0,17891.0,97.2336956521739,44.0,89.0,5.0,65.0,83.0,80.0,104.0,0.02717391304347826,0.3532608695652174,26.0,28939714.0,79.94254309402851,3070.0,Montmorency,21870,95,36.8,3578.2,0.2794701246436756,2.2862368541380884,0.0,1222.402325191437,0,Faible,0
95429,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Montreuil-sur-Epte,6.0,1489.0,248.16666666666666,1.0,0.0,4.0,1.0,0.0,5.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,Montreuil-sur-Epte,390,95,6.0,1489.0,0.0,0.0,0.0,261.9207521826729,0,Très faible,0
95430,1,1,0,2.0,74.0,49.069,2.303,0,0,0,2006.0,2006.0,1.0,0.0,Montsoult,15.0,1938.0,129.2,3.0,1.0,0.0,4.0,1.0,8.0,7.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,Montsoult,4068,95,15.0,1938.0,0.5159958720330238,2.458210422812193,2.458210422812193,2099.0712074303406,0,Très faible,0
95436,1,1,0,2.0,18.0,49.1327,2.2636,1,0,0,2017.0,2017.0,1.0,0.0,Mours,8.0,1029.0,128.625,2.0,1.0,0.0,2.0,1.0,0.0,8.0,0.0,0.25,0.0,0.0,0.0,0.0,Mours,1667,95,8.0,1029.0,0.9718172983479106,5.9988002399520095,5.9988002399520095,1620.019436345967,0,Très faible,0
95438,1,0,0,3.0,42.0,,,0,0,0,2023.0,2023.0,0.0,0.0,Moussy,7.0,986.0,140.85714285714286,6.0,0.0,0.0,6.0,0.0,6.0,1.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,Moussy,113,95,7.0,986.0,1.0141987829614605,88.49557522123894,0.0,114.60446247464503,0,Très faible,0
95445,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Nerville-la-Forêt,21.0,5297.0,252.23809523809524,6.0,0.0,11.0,5.0,3.0,8.0,13.0,0.5238095238095238,0.23809523809523808,0.0,0.0,0.0,0.0,Nerville-la-Forêt,767,95,21.0,5297.0,0.0,0.0,0.0,144.7989427978101,0,Très faible,0
95446,1,0,0,3.0,37.0,,,0,0,0,2021.0,2021.0,0.0,0.0,Nesles-la-Vallée,10.0,3094.0,309.4,2.0,1.0,0.0,3.0,0.0,3.0,7.0,0.0,0.3,0.0,0.0,0.0,0.0,Nesles-la-Vallée,1803,95,10.0,3094.0,0.32320620555914675,5.546311702717693,0.0,582.7407886231416,0,Très faible,0
95447,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Neuilly-en-Vexin,1.0,27.0,27.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Neuilly-en-Vexin,235,95,1.0,27.0,0.0,0.0,0.0,8703.703703703704,0,Très faible,0
95450,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Neuville-sur-Oise,146.0,15061.0,103.15753424657534,29.0,12.0,9.0,25.0,37.0,96.0,50.0,0.06164383561643835,0.17123287671232876,0.0,0.0,0.0,0.0,Neuville-sur-Oise,2070,95,146.0,15061.0,0.0,0.0,0.0,137.44107296992232,0,Très faible,0
95452,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Nointel,4.0,981.0,245.25,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Nointel,877,95,4.0,981.0,0.0,0.0,0.0,893.9857288481141,0,Très faible,0
95456,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Noisy-sur-Oise,49.0,6793.0,138.6326530612245,5.0,38.0,0.0,36.0,12.0,46.0,3.0,0.0,0.7346938775510204,0.0,0.0,0.0,0.0,Noisy-sur-Oise,615,95,49.0,6793.0,0.0,0.0,0.0,90.53437361990284,0,Très faible,0
95459,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Nucourt,10.0,1851.0,185.1,1.0,2.0,0.0,3.0,1.0,3.0,7.0,0.0,0.3,0.0,0.0,0.0,0.0,Nucourt,712,95,10.0,1851.0,0.0,0.0,0.0,384.65694219340895,0,Très faible,0
95462,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Omerville,52.0,4415.0,84.90384615384616,5.0,14.0,0.0,51.0,1.0,38.0,14.0,0.0,0.9807692307692307,0.0,0.0,0.0,0.0,Omerville,324,95,52.0,4415.0,0.0,0.0,0.0,73.38618346545866,0,Très faible,0
95476,2,0,0,3.5,43.0,0.0,0.0,2,0,1,2006.0,2006.0,0.0,0.0,Osny,316.0,32521.0,102.91455696202532,121.0,75.0,6.0,144.0,72.0,155.0,161.0,0.0189873417721519,0.45569620253164556,0.0,0.0,0.0,0.0,Osny,17277,95,158.0,16260.5,0.06149872390147904,1.1576083810846791,0.0,531.2567264229267,0,Faible,0
95480,1,0,0,4.0,47.0,49.1241,2.2167,0,0,0,2017.0,2017.0,0.0,0.0,Parmain,77.0,7715.0,100.1948051948052,21.0,20.0,12.0,34.0,15.0,50.0,27.0,0.15584415584415584,0.44155844155844154,0.0,0.0,0.0,0.0,Parmain,5610,95,77.0,7715.0,0.12961762799740764,1.7825311942959001,0.0,727.1548930654569,0,Très faible,0
95483,1,0,0,3.0,67.0,,,0,0,0,2019.0,2019.0,0.0,0.0,Le Perchay,10.0,502.0,50.2,8.0,1.0,0.0,3.0,6.0,8.0,2.0,0.0,0.3,0.0,0.0,0.0,0.0,Le Perchay,522,95,10.0,502.0,1.9920318725099602,19.157088122605362,0.0,1039.8406374501992,0,Très faible,0
95487,10,1,1,3.3,39.5,16.383966666666666,0.7576333333333333,2,2,2,2006.0,2022.0,0.1,0.1,Persan,20.0,2969.0,148.45,10.0,2.0,5.0,10.0,5.0,15.0,5.0,0.25,0.5,0.0,0.0,0.0,0.0,Persan,13996,95,2.0,296.9,3.3681374200067364,7.144898542440697,0.7144898542440697,4714.045133041428,1,Modéré,0
95488,2,0,0,3.5,41.0,0.0,0.0,0,0,0,2005.0,2005.0,0.0,0.0,Pierrelaye,131.0,15823.0,120.78625954198473,25.0,60.0,29.0,64.0,39.0,43.0,88.0,0.22137404580152673,0.48854961832061067,0.0,0.0,0.0,0.0,Pierrelaye,9998,95,65.5,7911.5,0.12639828098337863,2.000400080016003,0.0,631.8650066359097,0,Faible,0
95489,1,0,0,3.0,49.0,49.0185,2.3496,0,0,0,2011.0,2011.0,0.0,0.0,Piscop,8.0,1555.0,194.375,4.0,3.0,0.0,7.0,0.0,7.0,1.0,0.0,0.875,0.0,0.0,0.0,0.0,Piscop,706,95,8.0,1555.0,0.6430868167202572,14.164305949008499,0.0,454.01929260450163,0,Très faible,0
